MAC,FABRICANTE
24-EA-40   ,Systeme Helmholz GmbH
24EA40     ,Systeme Helmholz GmbH
FC-58-FA   ,"Shen Zhen Shi Xin Zhong Xin Technology Co.,Ltd."
FC58FA     ,"Shen Zhen Shi Xin Zhong Xin Technology Co.,Ltd."
60-60-1F   ,"SZ DJI TECHNOLOGY CO.,LTD"
60601F     ,"SZ DJI TECHNOLOGY CO.,LTD"
E0-C6-B3   ,MilDef AB
E0C6B3     ,MilDef AB
FC-DB-96   ,"ENERVALLEY CO., LTD"
FCDB96     ,"ENERVALLEY CO., LTD"
74-25-8A   ,"Hangzhou H3C Technologies Co., Limited"
74258A     ,"Hangzhou H3C Technologies Co., Limited"
F0-6B-CA   ,"Samsung Electronics Co.,Ltd"
F06BCA     ,"Samsung Electronics Co.,Ltd"
FC-8B-97   ,"Shenzhen Gongjin Electronics Co.,Ltd"
FC8B97     ,"Shenzhen Gongjin Electronics Co.,Ltd"
88-2E-5A   ,storONE
882E5A     ,storONE
D4-29-EA   ,Zimory GmbH
D429EA     ,Zimory GmbH
C8-0E-95   ,OmniLync Inc.
C80E95     ,OmniLync Inc.
18-DC-56   ,"Yulong Computer Telecommunication Scientific(shenzhen)Co.,Lt"
18DC56     ,"Yulong Computer Telecommunication Scientific(shenzhen)Co.,Lt"
50-AB-BF   ,Hoseo Telecom
50ABBF     ,Hoseo Telecom
8C-77-16   ,LONGCHEER TELECOMMUNICATION LIMITED
8C7716     ,LONGCHEER TELECOMMUNICATION LIMITED
C8-EE-A6   ,"Shenzhen SHX Technology Co., Ltd"
C8EEA6     ,"Shenzhen SHX Technology Co., Ltd"
28-CB-EB   ,One
28CBEB     ,One
18-E8-DD   ,MODULETEK
18E8DD     ,MODULETEK
2C-28-2D   ,"BBK COMMUNICATIAO TECHNOLOGY CO.,LTD."
2C282D     ,"BBK COMMUNICATIAO TECHNOLOGY CO.,LTD."
4C-CC-34   ,Motorola Solutions Inc.
4CCC34     ,Motorola Solutions Inc.
F8-2F-A8   ,"Hon Hai Precision Ind. Co.,Ltd."
F82FA8     ,"Hon Hai Precision Ind. Co.,Ltd."
F0-84-C9   ,zte corporation
F084C9     ,zte corporation
E8-94-F6   ,"TP-LINK TECHNOLOGIES CO.,LTD."
E894F6     ,"TP-LINK TECHNOLOGIES CO.,LTD."
94-AC-CA   ,trivum technologies GmbH
94ACCA     ,trivum technologies GmbH
7C-D8-44   ,Enmotus Inc
7CD844     ,Enmotus Inc
40-B0-FA   ,LG Electronics
40B0FA     ,LG Electronics
F4-C6-D7   ,blackned GmbH
F4C6D7     ,blackned GmbH
68-A4-0E   ,BSH Bosch and Siemens Home Appliances GmbH
68A40E     ,BSH Bosch and Siemens Home Appliances GmbH
4C-CA-53   ,"Skyera, Inc."
4CCA53     ,"Skyera, Inc."
08-1D-FB   ,"Shanghai Mexon Communication Technology Co.,Ltd"
081DFB     ,"Shanghai Mexon Communication Technology Co.,Ltd"
D0-CD-E1   ,Scientech Electronics
D0CDE1     ,Scientech Electronics
98-D6-F7   ,LG Electronics
98D6F7     ,LG Electronics
94-75-6E   ,QinetiQ North America
94756E     ,QinetiQ North America
54-3D-37   ,Ruckus Wireless
543D37     ,Ruckus Wireless
90-5F-2E   ,TCT Mobile Limited
905F2E     ,TCT Mobile Limited
0C-55-21   ,Axiros GmbH
0C5521     ,Axiros GmbH
A4-D8-56   ,"Gimbal, Inc"
A4D856     ,"Gimbal, Inc"
10-A7-43   ,SK Mtek Limited
10A743     ,SK Mtek Limited
E4-A7-FD   ,Cellco Partnership
E4A7FD     ,Cellco Partnership
24-F2-DD   ,Radiant Zemax LLC
24F2DD     ,Radiant Zemax LLC
80-CF-41   ,Lenovo Mobile Communication Technology Ltd.
80CF41     ,Lenovo Mobile Communication Technology Ltd.
7C-9A-9B   ,VSE valencia smart energy
7C9A9B     ,VSE valencia smart energy
A8-45-E9   ,"Firich Enterprises CO., LTD."
A845E9     ,"Firich Enterprises CO., LTD."
78-99-5C   ,Nationz Technologies Inc
78995C     ,Nationz Technologies Inc
8C-C5-E1   ,"ShenZhen Konka Telecommunication Technology Co.,Ltd"
8CC5E1     ,"ShenZhen Konka Telecommunication Technology Co.,Ltd"
74-27-EA   ,"Elitegroup Computer Systems Co., Ltd."
7427EA     ,"Elitegroup Computer Systems Co., Ltd."
6C-B3-11   ,"Shenzhen Lianrui Electronics Co.,Ltd"
6CB311     ,"Shenzhen Lianrui Electronics Co.,Ltd"
54-11-5F   ,Atamo Pty Ltd
54115F     ,Atamo Pty Ltd
24-11-D0   ,"Chongqing Ehs Science and Technology Development Co.,Ltd."
2411D0     ,"Chongqing Ehs Science and Technology Development Co.,Ltd."
6C-9A-C9   ,"Valentine Research, Inc."
6C9AC9     ,"Valentine Research, Inc."
10-F4-9A   ,T3 Innovation
10F49A     ,T3 Innovation
1C-5A-3E   ,"Samsung Eletronics Co., Ltd (Visual Display Divison)"
1C5A3E     ,"Samsung Eletronics Co., Ltd (Visual Display Divison)"
58-65-E6   ,"INFOMARK CO., LTD."
5865000000,"INFOMARK CO., LTD."
BC-20-A4   ,Samsung Electronics
BC20A4     ,Samsung Electronics
60-BD-91   ,Move Innovation
60BD91     ,Move Innovation
98-47-3C   ,"SHANGHAI SUNMON COMMUNICATION TECHNOGY CO.,LTD"
98473C     ,"SHANGHAI SUNMON COMMUNICATION TECHNOGY CO.,LTD"
CC-4B-FB   ,Hellberg Safety AB
CC4BFB     ,Hellberg Safety AB
AC-A2-2C   ,Baycity Technologies Ltd
ACA22C     ,Baycity Technologies Ltd
6C-AD-EF   ,"KZ Broadband Technologies, Ltd. "
6CADEF     ,"KZ Broadband Technologies, Ltd. "
04-4B-FF   ,"GuangZhou Hedy Digital Technology Co., Ltd"
044BFF     ,"GuangZhou Hedy Digital Technology Co., Ltd"
94-9B-FD   ,"Trans New Technology, Inc."
949BFD     ,"Trans New Technology, Inc."
E4-EE-FD   ,MR&D Manufacturing
E4EEFD     ,MR&D Manufacturing
10-5C-BF   ,DuroByte Inc
105CBF     ,DuroByte Inc
30-C8-2A   ,Wi-Next s.r.l.
30C82A     ,Wi-Next s.r.l.
88-A3-CC   ,Amatis Controls
88A3CC     ,Amatis Controls
EC-89-F5   ,Lenovo Mobile Communication Technology Ltd.
EC89F5     ,Lenovo Mobile Communication Technology Ltd.
08-3A-B8   ,"Shinoda Plasma Co., Ltd."
083AB8     ,"Shinoda Plasma Co., Ltd."
A0-DD-97   ,"PolarLink Technologies, Ltd"
A0DD97     ,"PolarLink Technologies, Ltd"
E0-55-97   ,Emergent Vision Technologies Inc.
E05597     ,Emergent Vision Technologies Inc.
A0-19-17   ,Bertel S.p.a.
A01917     ,Bertel S.p.a.
FC-9F-AE   ,Fidus Systems Inc
FC9FAE     ,Fidus Systems Inc
FC-06-47   ,"Cortland Research, LLC"
FC0647     ,"Cortland Research, LLC"
20-91-8A   ,PROFALUX
20918A     ,PROFALUX
7C-43-8F   ,E-Band Communications Corp.
7C438F     ,E-Band Communications Corp.
FC-62-6E   ,Beijing MDC Telecom
FC626E     ,Beijing MDC Telecom
C0-B3-39   ,Comigo Ltd.
C0B339     ,Comigo Ltd.
DC-C0-DB   ,"Shenzhen Kaiboer Technology Co., Ltd."
DCC0DB     ,"Shenzhen Kaiboer Technology Co., Ltd."
70-76-DD   ,Oxyguard International A/S
7076DD     ,Oxyguard International A/S
E8-9A-FF   ,"Fujian Landi Commercial Equipment Co.,Ltd"
E89AFF     ,"Fujian Landi Commercial Equipment Co.,Ltd"
68-3B-1E   ,Countwise LTD
683B1E     ,Countwise LTD
D4-13-6F   ,Asia Pacific Brands
D4136F     ,Asia Pacific Brands
9C-2A-70   ,"Hon Hai Precision Ind. Co.,Ltd."
9C2A70     ,"Hon Hai Precision Ind. Co.,Ltd."
A0-A1-30   ,DLI Taiwan Branch office
A0A130     ,DLI Taiwan Branch office
38-BC-1A   ,"Meizu technology co.,ltd"
38BC1A     ,"Meizu technology co.,ltd"
EC-E9-15   ,STI Ltd
ECE915     ,STI Ltd
A8-1F-AF   ,KRYPTON POLSKA
A81FAF     ,KRYPTON POLSKA
08-7B-AA   ,"SVYAZKOMPLEKTSERVICE, LLC"
087BAA     ,"SVYAZKOMPLEKTSERVICE, LLC"
2C-26-C5   ,zte corporation
2C26C5     ,zte corporation
BC-62-9F   ,Telenet Systems P. Ltd.
BC629F     ,Telenet Systems P. Ltd.
F4-7B-5E   ,"Samsung Eletronics Co., Ltd"
F47B5E     ,"Samsung Eletronics Co., Ltd"
B4-7F-5E   ,Foresight Manufacture (S) Pte Ltd
B47F5E     ,Foresight Manufacture (S) Pte Ltd
78-55-17   ,SankyuElectronics
785517,SankyuElectronics
84-8E-96   ,Embertec Pty Ltd
"8,48000000000000E+98",Embertec Pty Ltd
CC-3A-61   ,"SAMSUNG ELECTRO MECHANICS CO., LTD."
CC3A61     ,"SAMSUNG ELECTRO MECHANICS CO., LTD."
A0-03-63   ,Robert Bosch Healthcare GmbH
A00363     ,Robert Bosch Healthcare GmbH
4C-8F-A5   ,Jastec
4C8FA5     ,Jastec
F0-F6-44   ,"Whitesky Science & Technology Co.,Ltd."
F0F644     ,"Whitesky Science & Technology Co.,Ltd."
30-D3-57   ,"Logosol, Inc."
30D357     ,"Logosol, Inc."
14-F4-2A   ,Samsung Electronics
14F42A     ,Samsung Electronics
2C-44-1B   ,Spectrum Medical Limited
2C441B     ,Spectrum Medical Limited
1C-5A-6B   ,Philips Electronics Nederland BV
1C5A6B     ,Philips Electronics Nederland BV
A8-75-D6   ,"FreeTek International Co., Ltd."
A875D6     ,"FreeTek International Co., Ltd."
58-EB-14   ,Proteus Digital Health
58EB14     ,Proteus Digital Health
78-9F-87   ,Siemens AG I IA PP PRM
789F87     ,Siemens AG I IA PP PRM
7C-0A-50   ,J-MEX Inc.
7C0A50     ,J-MEX Inc.
40-F2-E9   ,IBM
40F2E9     ,IBM
9C-04-73   ,Tecmobile (International) Ltd. 
9C0473     ,Tecmobile (International) Ltd. 
CC-26-2D   ,"Verifi, LLC"
CC262D     ,"Verifi, LLC"
3C-8A-E5   ,"Tensun Information Technology(Hangzhou) Co.,LTD"
3C8AE5     ,"Tensun Information Technology(Hangzhou) Co.,LTD"
7C-B2-32   ,"Hui Zhou Gaoshengda Technology Co.,LTD"
7CB232     ,"Hui Zhou Gaoshengda Technology Co.,LTD"
54-DF-63   ,Intrakey technologies GmbH
54DF63     ,Intrakey technologies GmbH
7C-01-87   ,"Curtis Instruments, Inc."
7C0187     ,"Curtis Instruments, Inc."
38-8E-E7   ,Fanhattan LLC
388EE7     ,Fanhattan LLC
54-F6-66   ,Berthold Technologies GmbH and Co.KG
54F666     ,Berthold Technologies GmbH and Co.KG
80-2F-DE   ,Zurich Instruments AG
802FDE     ,Zurich Instruments AG
08-AF-78   ,"Totus Solutions, Inc."
08AF78     ,"Totus Solutions, Inc."
5C-38-E0   ,"Shanghai Super Electronics Technology Co.,LTD"
5C38E0     ,"Shanghai Super Electronics Technology Co.,LTD"
A0-E5-34   ,Stratec Biomedical AG
A0E534     ,Stratec Biomedical AG
28-91-D0   ,Stage Tec Entwicklungsgesellschaft für professionelle Audiotechnik mbH
2891D0     ,Stage Tec Entwicklungsgesellschaft für professionelle Audiotechnik mbH
A8-54-B2   ,Wistron Neweb Corp.
A854B2     ,Wistron Neweb Corp.
98-29-1D   ,"Jaguar de Mexico, SA de CV"
98291D     ,"Jaguar de Mexico, SA de CV"
18-86-3A   ,DIGITAL ART SYSTEM
18863A     ,DIGITAL ART SYSTEM
F4-B7-2A   ,TIME INTERCONNECT LTD
F4B72A     ,TIME INTERCONNECT LTD
34-D7-B4   ,"Tributary Systems, Inc."
34D7B4     ,"Tributary Systems, Inc."
F4-0F-9B   ,WAVELINK
F40F9B     ,WAVELINK
14-43-19   ,Creative&Link Technology Limited
144319,Creative&Link Technology Limited
64-F5-0E   ,Kinion Technology Company Limited
64F50E     ,Kinion Technology Company Limited
28-A1-86   ,enblink
28A186     ,enblink
1C-94-92   ,RUAG Schweiz AG
1C9492     ,RUAG Schweiz AG
24-69-4A   ,Jasmine Systems Inc.
24694A     ,Jasmine Systems Inc.
C8-C7-91   ,Zero1.tv GmbH
C8C791     ,Zero1.tv GmbH
60-74-8D   ,Atmaca Elektronik
60748D     ,Atmaca Elektronik
78-D1-29   ,Vicos
78D129     ,Vicos
78-AB-60   ,ABB Australia
78AB60     ,ABB Australia
28-9A-4B   ,SteelSeries ApS
289A4B     ,SteelSeries ApS
0C-C6-6A   ,Nokia Corporation
0CC66A     ,Nokia Corporation
30-78-C2   ,"Innowireless, Co. Ltd."
3078C2     ,"Innowireless, Co. Ltd."
58-98-6F   ,Revolution Display
58986F     ,Revolution Display
7C-FE-28   ,Salutron Inc.
7CFE28     ,Salutron Inc.
10-9F-A9   ,"Actiontec Electronics, Inc"
109FA9     ,"Actiontec Electronics, Inc"
C0-A3-64   ,3D Systems Massachusetts
C0A364     ,3D Systems Massachusetts
98-A7-B0   ,MCST ZAO
98A7B0     ,MCST ZAO
88-DC-96   ,"SENAO Networks, Inc."
88DC96     ,"SENAO Networks, Inc."
4C-0B-3A   ,TCT Mobile Limited
4C0B3A     ,TCT Mobile Limited
C4-55-C2   ,Bach-Simpson
C455C2     ,Bach-Simpson
EC-A2-9B   ,Kemppi Oy
ECA29B     ,Kemppi Oy
04-CE-14   ,Wilocity LTD.
04CE14     ,Wilocity LTD.
80-2A-FA   ,Germaneers GmbH
802AFA     ,Germaneers GmbH
1C-84-64   ,FORMOSA WIRELESS COMMUNICATION CORP.
1C8464     ,FORMOSA WIRELESS COMMUNICATION CORP.
D8-67-D9   ,"Cisco Systems, Inc"
D867D9     ,"Cisco Systems, Inc"
B4-21-8A   ,Dog Hunter LLC
B4218A     ,Dog Hunter LLC
F8-A0-3D   ,"Dinstar Technologies Co., Ltd."
F8A03D     ,"Dinstar Technologies Co., Ltd."
D0-8C-FF   ,UPWIS AB
D08CFF     ,UPWIS AB
9C-06-6E   ,Hytera Communications Corporation Limited
9C066E     ,Hytera Communications Corporation Limited
74-6A-89   ,Rezolt Corporation
746A89     ,Rezolt Corporation
68-D1-FD   ,"Shenzhen Trimax Technology Co.,Ltd"
68D1FD     ,"Shenzhen Trimax Technology Co.,Ltd"
24-1B-13   ,"Shanghai Nutshell Electronic Co., Ltd."
241B13     ,"Shanghai Nutshell Electronic Co., Ltd."
B4-35-64   ,"Fujian Tian Cheng Electron Science & Technical Development Co.,Ltd."
B43564     ,"Fujian Tian Cheng Electron Science & Technical Development Co.,Ltd."
54-D1-B0   ,"Universal Laser Systems, Inc"
54D1B0     ,"Universal Laser Systems, Inc"
A4-97-BB   ,"Hitachi Industrial Equipment Systems Co.,Ltd"
A497BB     ,"Hitachi Industrial Equipment Systems Co.,Ltd"
FC-52-CE   ,Control iD
FC52CE     ,Control iD
E8-04-F3   ,"Throughtek Co., Ltd."
E804F3     ,"Throughtek Co., Ltd."
B8-58-10   ,"NUMERA, INC."
B85810     ,"NUMERA, INC."
2C-AB-25   ,"Shenzhen Gongjin Electronics Co.,Ltd"
2CAB25     ,"Shenzhen Gongjin Electronics Co.,Ltd"
AC-6E-1A   ,"Shenzhen Gongjin Electronics Co.,Ltd"
AC6E1A     ,"Shenzhen Gongjin Electronics Co.,Ltd"
98-86-B1   ,Flyaudio corporation (China)
9886B1     ,Flyaudio corporation (China)
28-B3-AB   ,Genmark Automation
28B3AB     ,Genmark Automation
44-E8-A5   ,Myreka Technologies Sdn. Bhd.
44E8A5     ,Myreka Technologies Sdn. Bhd.
AC-14-D2   ,"wi-daq, inc."
AC14D2     ,"wi-daq, inc."
9C-4C-AE   ,Mesa Labs
9C4CAE     ,Mesa Labs
7C-D9-FE   ,"New Cosmos Electric Co., Ltd."
7CD9FE     ,"New Cosmos Electric Co., Ltd."
E4-90-69   ,Rockwell Automation
E49069     ,Rockwell Automation
B4-89-10   ,Coster T.E. S.P.A.
B48910     ,Coster T.E. S.P.A.
18-39-19   ,Unicoi Systems
183919,Unicoi Systems
A4-B1-E9   ,Technicolor
A4B1E9     ,Technicolor
30-AE-F6   ,Radio Mobile Access
30AEF6     ,Radio Mobile Access
58-34-3B   ,Glovast Technology Ltd.
58343B     ,Glovast Technology Ltd.
54-A0-4F   ,t-mac Technologies Ltd
54A04F     ,t-mac Technologies Ltd
E4-4F-5F   ,EDS Elektronik Destek San.Tic.Ltd.Sti
E44F5F     ,EDS Elektronik Destek San.Tic.Ltd.Sti
08-B7-38   ,Lite-On Technogy Corp.
08B738     ,Lite-On Technogy Corp.
9C-66-50   ,"Glodio Technolies Co.,Ltd Tianjin Branch"
9C6650     ,"Glodio Technolies Co.,Ltd Tianjin Branch"
50-39-55   ,Cisco SPVTG
503955,Cisco SPVTG
90-CF-6F   ,Dlogixs Co Ltd
90CF6F     ,Dlogixs Co Ltd
68-AF-13   ,Futura Mobility
68AF13     ,Futura Mobility
B8-24-10   ,Magneti Marelli Slovakia s.r.o.
B82410     ,Magneti Marelli Slovakia s.r.o.
A8-EF-26   ,Tritonwave
A8EF26     ,Tritonwave
F0-D3-E7   ,Sensometrix SA
F0D3E7     ,Sensometrix SA
7C-C8-D0   ,"TIANJIN YAAN TECHNOLOGY CO., LTD."
7CC8D0     ,"TIANJIN YAAN TECHNOLOGY CO., LTD."
88-E9-17   ,Tamaggo
"1,79769313486232E+308",Tamaggo
80-AA-A4   ,USAG
80AAA4     ,USAG
5C-24-79   ,Baltech AG
5C2479     ,Baltech AG
E8-CB-A1   ,Nokia Corporation
E8CBA1     ,Nokia Corporation
F8-5F-2A   ,Nokia Corporation
F85F2A     ,Nokia Corporation
28-60-94   ,CAPELEC
286094,CAPELEC
60-E9-56   ,"Ayla Networks, Inc"
"1,79769313486232E+308","Ayla Networks, Inc"
28-71-84   ,Spire Payments
287184,Spire Payments
1C-B0-94   ,HTC Corporation
1CB094     ,HTC Corporation
FC-50-90   ,SIMEX Sp. z o.o.
FC5090     ,SIMEX Sp. z o.o.
20-9B-A5   ,"JIAXING GLEAD Electronics Co.,Ltd"
209BA5     ,"JIAXING GLEAD Electronics Co.,Ltd"
60-84-3B   ,"Soladigm, Inc."
60843B     ,"Soladigm, Inc."
50-8C-77   ,DIRMEIER Schanktechnik GmbH &Co KG
508C77     ,DIRMEIER Schanktechnik GmbH &Co KG
60-89-B1   ,Key Digital Systems
6089B1     ,Key Digital Systems
08-0C-C9   ,"Mission Technology Group, dba Magma"
080CC9     ,"Mission Technology Group, dba Magma"
3C-97-0E   ,"Wistron InfoComm(Kunshan)Co.,Ltd."
3C970E     ,"Wistron InfoComm(Kunshan)Co.,Ltd."
A0-F4-50   ,HTC Corporation
A0F450     ,HTC Corporation
44-D1-5E   ,Shanghai Kingto Information Technology Ltd
44D15E     ,Shanghai Kingto Information Technology Ltd
54-5E-BD   ,NL Technologies
545EBD     ,NL Technologies
C8-BB-D3   ,Embrane
C8BBD3     ,Embrane
EC-D1-9A   ,"Zhuhai Liming Industries Co., Ltd"
ECD19A     ,"Zhuhai Liming Industries Co., Ltd"
34-6E-8A   ,Ecosense
346E8A     ,Ecosense
AC-EE-3B   ,6harmonics Inc
ACEE3B     ,6harmonics Inc
04-C1-B9   ,"Fiberhome Telecommunication Tech.Co.,Ltd."
04C1B9     ,"Fiberhome Telecommunication Tech.Co.,Ltd."
68-16-05   ,Systems And Electronic Development FZCO
681605,Systems And Electronic Development FZCO
04-F1-7D   ,Tarana Wireless
04F17D     ,Tarana Wireless
A0-DC-04   ,Becker-Antriebe GmbH
A0DC04     ,Becker-Antriebe GmbH
B8-55-10   ,Zioncom Electronics (Shenzhen) Ltd.
B85510     ,Zioncom Electronics (Shenzhen) Ltd.
8C-C1-21   ,Panasonic Corporation AVC Networks Company
8CC121     ,Panasonic Corporation AVC Networks Company
2C-BE-97   ,Ingenieurbuero Bickele und Buehler GmbH
2CBE97     ,Ingenieurbuero Bickele und Buehler GmbH
04-5A-95   ,Nokia Corporation
045A95     ,Nokia Corporation
B4-0E-96   ,HERAN 
B40E96     ,HERAN 
BC-85-1F   ,Samsung Electronics
BC851F     ,Samsung Electronics
0C-AF-5A   ,GENUS POWER INFRASTRUCTURES LIMITED
0CAF5A     ,GENUS POWER INFRASTRUCTURES LIMITED
D0-69-9E   ,LUMINEX Lighting Control Equipment
D0699E     ,LUMINEX Lighting Control Equipment
64-AE-88   ,Polytec GmbH
64AE88     ,Polytec GmbH
2C-54-2D   ,"Cisco Systems, Inc"
2C542D     ,"Cisco Systems, Inc"
70-9E-86   ,X6D Limited
"7,09000000000000E+88",X6D Limited
94-61-24   ,Pason Systems
946124,Pason Systems
DC-30-9C   ,Heyrex Limited
DC309C     ,Heyrex Limited
E8-13-24   ,"GuangZhou Bonsoninfo System CO.,LTD"
E81324     ,"GuangZhou Bonsoninfo System CO.,LTD"
00-36-F8   ,Conti Temic microelectronic GmbH
0036F8     ,Conti Temic microelectronic GmbH
44-38-39   ,"Cumulus Networks, inc"
443839,"Cumulus Networks, inc"
20-F0-02   ,MTData Developments Pty. Ltd.
20F002     ,MTData Developments Pty. Ltd.
CC-91-2B   ,TE Connectivity Touch Solutions
CC912B     ,TE Connectivity Touch Solutions
78-52-62   ,"Shenzhen Hojy Software Co., Ltd."
785262,"Shenzhen Hojy Software Co., Ltd."
40-33-6C   ,Godrej & Boyce Mfg. co. ltd
40336C     ,Godrej & Boyce Mfg. co. ltd
FC-1D-59   ,I Smart Cities HK Ltd
FC1D59     ,I Smart Cities HK Ltd
EC-0E-D6   ,ITECH INSTRUMENTS SAS
EC0ED6     ,ITECH INSTRUMENTS SAS
D0-D2-12   ,"K2NET Co.,Ltd."
D0D212     ,"K2NET Co.,Ltd."
9C-8E-DC   ,Teracom Limited
9C8EDC     ,Teracom Limited
14-6A-0B   ,Cypress Electronics Limited
146A0B     ,Cypress Electronics Limited
B0-75-0C   ,QA Cafe
B0750C     ,QA Cafe
B4-E1-EB   ,Private
B4E1EB     ,Private
FC-2A-54   ,"Connected Data, Inc."
FC2A54     ,"Connected Data, Inc."
A0-90-DE   ,"VEEDIMS,LLC"
A090DE     ,"VEEDIMS,LLC"
AC-14-61   ,"ATAW  Co., Ltd."
AC1461     ,"ATAW  Co., Ltd."
50-8A-42   ,"Uptmate Technology Co., LTD"
508A42     ,"Uptmate Technology Co., LTD"
8C-57-FD   ,LVX Western
8C57FD     ,LVX Western
00-2A-6A   ,"Cisco Systems, Inc"
002A6A     ,"Cisco Systems, Inc"
B8-8F-14   ,Analytica GmbH
B88F14     ,Analytica GmbH
94-FA-E8   ,"Shenzhen Eycom Technology Co., Ltd "
94FAE8     ,"Shenzhen Eycom Technology Co., Ltd "
48-44-F7   ,"Samsung Electronics Co., LTD"
4844F7     ,"Samsung Electronics Co., LTD"
3C-A3-15   ,"Bless Information & Communications Co., Ltd"
3CA315     ,"Bless Information & Communications Co., Ltd"
F8-DB-4C   ,"PNY Technologies, INC."
F8DB4C     ,"PNY Technologies, INC."
F8-30-94   ,Alcatel-Lucent Telecom Limited
F83094     ,Alcatel-Lucent Telecom Limited
28-17-CE   ,Omnisense Ltd
2817CE     ,Omnisense Ltd
28-E6-08   ,Tokheim
"1,79769313486232E+308",Tokheim
E4-77-D4   ,"Minrray Industry Co.,Ltd "
E477D4     ,"Minrray Industry Co.,Ltd "
A4-B9-80   ,Parking BOXX Inc.
A4B980     ,Parking BOXX Inc.
00-2D-76   ,TITECH GmbH
002D76     ,TITECH GmbH
DC-71-44   ,Samsung Electro Mechanics
DC7144     ,Samsung Electro Mechanics
78-A1-83   ,Advidia
78A183     ,Advidia
F8-50-63   ,Verathon
F85063     ,Verathon
40-0E-67   ,Tremol Ltd.
"4,00000000000000E+69",Tremol Ltd.
90-1B-0E   ,Fujitsu Technology Solutions GmbH
901B0E     ,Fujitsu Technology Solutions GmbH
5C-6F-4F   ,S.A. SISTEL
5C6F4F     ,S.A. SISTEL
B0-58-C4   ,"Broadcast Microwave Services, Inc"
B058C4     ,"Broadcast Microwave Services, Inc"
B8-20-E7   ,Guangzhou Horizontal Information & Network Integration Co. Ltd
B820E7     ,Guangzhou Horizontal Information & Network Integration Co. Ltd
98-58-8A   ,SYSGRATION Ltd.
98588A     ,SYSGRATION Ltd.
84-2B-50   ,"Huria Co.,Ltd."
842B50     ,"Huria Co.,Ltd."
0C-5A-19   ,Axtion Sdn Bhd
0C5A19     ,Axtion Sdn Bhd
60-6B-BD   ,"Samsung Electronics Co., LTD"
606BBD     ,"Samsung Electronics Co., LTD"
A0-0C-A1   ,SKTB SKiT
A00CA1     ,SKTB SKiT
E0-95-79   ,"ORTHOsoft inc, d/b/a Zimmer CAS"
E09579     ,"ORTHOsoft inc, d/b/a Zimmer CAS"
30-7E-CB   ,SFR
307ECB     ,SFR
90-A7-83   ,JSW PACIFIC CORPORATION 
90A783     ,JSW PACIFIC CORPORATION 
36768,"Cisco Systems, Inc"
830,"Cisco Systems, Inc"
CC-EF-48   ,"Cisco Systems, Inc"
CCEF48     ,"Cisco Systems, Inc"
78-A5-DD   ,"Shenzhen Smarteye Digital Electronics Co., Ltd"
78A5DD     ,"Shenzhen Smarteye Digital Electronics Co., Ltd"
28-B0-CC   ,Xenya d.o.o.
28B0CC     ,Xenya d.o.o.
94-D7-23   ,"Shanghai DareGlobal Technologies Co., Ltd"
94D723     ,"Shanghai DareGlobal Technologies Co., Ltd"
EC-E7-44   ,Omntec mfg. inc
ECE744     ,Omntec mfg. inc
80-42-7C   ,Adolf Tedsen GmbH & Co. KG
80427C     ,Adolf Tedsen GmbH & Co. KG
F8-F7-D3   ,International Communications Corporation
F8F7D3     ,International Communications Corporation
B8-9A-ED   ,"OceanServer Technology, Inc"
B89AED     ,"OceanServer Technology, Inc"
E4-55-EA   ,Dedicated Computing
E455EA     ,Dedicated Computing
00-FC-58   ,WebSilicon Ltd.
00FC58     ,WebSilicon Ltd.
64-A0-E7   ,"Cisco Systems, Inc"
64A0E7     ,"Cisco Systems, Inc"
18-E8-0F   ,Viking Electronics Inc.
18E80F     ,Viking Electronics Inc.
EC-62-64   ,"Global411 Internet Services, LLC"
EC6264     ,"Global411 Internet Services, LLC"
00-F0-51   ,KWB Gmbh
00F051     ,KWB Gmbh
44-DC-91   ,PLANEX COMMUNICATIONS INC.
44DC91     ,PLANEX COMMUNICATIONS INC.
F0-DE-B9   ,"ShangHai Y&Y Electronics Co., Ltd"
F0DEB9     ,"ShangHai Y&Y Electronics Co., Ltd"
AC-54-EC   ,IEEE P1823 Standards Working Group
AC54EC     ,IEEE P1823 Standards Working Group
C8-29-2A   ,Barun Electronics
C8292A     ,Barun Electronics
E0-DA-DC   ,JVC KENWOOD Corporation
E0DADC     ,JVC KENWOOD Corporation
C8-94-D2   ,"Jiangsu Datang  Electronic Products Co., Ltd"
C894D2     ,"Jiangsu Datang  Electronic Products Co., Ltd"
A0-42-3F   ,Tyan Computer Corp
A0423F     ,Tyan Computer Corp
5C-18-B5   ,Talon Communications
5C18B5     ,Talon Communications
78-BA-D0   ,Shinybow Technology Co. Ltd.
78BAD0     ,Shinybow Technology Co. Ltd.
30-6C-BE   ,Skymotion Technology (HK) Limited
306CBE     ,Skymotion Technology (HK) Limited
40-D5-59   ,MICRO S.E.R.I.
40D559     ,MICRO S.E.R.I.
F8-2F-5B   ,eGauge Systems LLC
F82F5B     ,eGauge Systems LLC
34-99-D7   ,"Universal Flow Monitors, Inc."
3499D7     ,"Universal Flow Monitors, Inc."
7C-33-6E   ,MEG Electronics Inc.
7C336E     ,MEG Electronics Inc.
D0-C1-B1   ,"Samsung Electronics Co.,Ltd"
D0C1B1     ,"Samsung Electronics Co.,Ltd"
D4-D2-49   ,Power Ethernet
D4D249     ,Power Ethernet
